CustomerID,Order Date,Order Month,Food Category,Item,Unit Ordered,,Unit Price (in Rs),Area,Total Amount,Profile
CUST213,10/1/2024,October,Veg,Dal Makhani ,1,Cury,200,Guntur,200,Student
CUST205,10/1/2024,October,Non-Veg,Egg Curry ,2,Cury,200,Vijayawada,400,Student
CUST079,10/1/2024,October,Veg,Aloo Gobi ,1,Cury,150,Vijayawada,150,Student
CUST088,10/1/2024,October,Non-Veg,Mutton Biryani ,5,Other,410,Vijayawada,2050,Employed
CUST207,10/1/2024,October,Veg,Vegetable Korma ,1,Cury,250,Guntur,250,Student
CUST202,10/1/2024,October,Non-Veg,Fish Curry ,2,Cury,350,Visakhapatnam,700,Student
CUST281,10/1/2024,October,Non-Veg,Fish Curry ,2,Cury,350,Tirupati,700,Student
CUST252,10/1/2024,October,Veg,Paneer Butter Masala ,1,Cury,250,Guntur,250,Employed
CUST164,10/1/2024,October,Non-Veg,Prawns Fry ,1,Cury,400,Visakhapatnam,400,Student
CUST237,10/1/2024,October,Veg,Veg Manchurian ,2,Cury,200,Rajahmundry,400,Employed
CUST168,10/1/2024,October,Veg,Dal Makhani ,2,Cury,200,Vijayawada,400,Employed
CUST299,10/1/2024,October,Veg,Pav Bhaji ,7,Other,200,Guntur,1400,Employed
CUST317,10/1/2024,October,Veg,Paneer Butter Masala ,1,Cury,250,Vijayawada,250,Student
CUST167,10/1/2024,October,Non-Veg,Chicken Tikka Masala ,2,Cury,300,Guntur,600,Employed
CUST102,10/1/2024,October,Veg,Dal Tadka ,2,Cury,200,Vijayawada,400,Student
CUST240,10/1/2024,October,Non-Veg,Mutton Biryani ,1,Other,410,Vijayawada,410,Employed
CUST072,10/1/2024,October,Non-Veg,Chicken Tikka Masala ,1,Cury,300,Tirupati,300,Student
CUST245,10/1/2024,October,Non-Veg,Chicken Wrap ,5,Other,150,Rajahmundry,750,Employed
CUST304,10/1/2024,October,Veg,Masala Dosa ,1,Other,150,Vijayawada,150,Student
CUST089,10/1/2024,October,Non-Veg,Mutton Biryani ,1,Other,410,Tirupati,410,Employed
CUST275,10/1/2024,October,Veg,Veg Biryani ,2,Cury,250,Guntur,500,Employed
CUST079,10/1/2024,October,Veg,Veg Sandwich ,2,Other,100,Rajahmundry,200,Student
CUST115,10/1/2024,October,Veg,Dal Makhani ,1,Cury,200,Guntur,200,Employed
CUST218,10/1/2024,October,Veg,Bhindi Masala ,1,Cury,200,Vijayawada,200,Student
CUST179,10/1/2024,October,Non-Veg,Chicken Korma ,1,Cury,300,Tirupati,300,Student
CUST022,10/1/2024,October,Non-Veg,Chicken Wrap ,8,Other,150,Vijayawada,1200,Student
CUST084,10/1/2024,October,Veg,Veg Sandwich ,5,Other,100,Rajahmundry,500,Employed
